tweet,date,city,user_location,place,coordinates,id,link
"Hay que nombrarlos.
CNN ya ha ""desproclamado"" a Biden. Esto muestra la enorme solidez del reclamo del Presidente Donald Trump.
Ahora ¿Qué van a hacer todos los adelantados que ya felicitaron al fraudulento Biden? Tenemos arrastrados como  @nelsonbocaranda @AliasMalula @elcitizen https://t.co/2kIgyzV0aa",2020-11-10 17:37:03,Bogota,"Bogota, Colombia",,,1326217319375400960,https://twitter.com/i/web/status/1326217319375400960
"#AlAire | Hoy en #AlMedioDíaEEUU Vuelve a estar en los titulares por cuenta de la reaparición del aún presidente Donald Trump quien dice que ganó las elecciones.

Conduce: @Villegasalejo 

@IbarraSocarras, @MatiasGal, @Carito1929, @CHenaodaniela, @sarriamo https://t.co/ov3ZBjTdbR",2020-11-10 17:00:50,Bogota,"Bogotá, Colombia",,,1326208203248578561,https://twitter.com/i/web/status/1326208203248578561
@JuanManSantos @JoeBiden Gracias por apoyar a donald trump,2020-11-10 16:55:43,Bogota,"colombia,bogota",,,1326206916201164801,https://twitter.com/i/web/status/1326206916201164801
@PachoSantosC Gracias por apoyar a donald trump,2020-11-10 16:54:44,Bogota,"colombia,bogota",,,1326206669500583937,https://twitter.com/i/web/status/1326206669500583937
@PublimetroCol Este man es oeor qye Donald Trump. Nacionalusmo Edtupido. 🇨🇴👎🇨🇴👎🇨🇴👎🇨🇴👎,2020-11-10 16:34:29,Bogota,Con la cabeza dandome vueltas,"Place(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326201572288761856,https://twitter.com/i/web/status/1326201572288761856
Por eso es que a estos bandidos no les gusta soltar el poder!  Los líos que le esperan a Donald Trump al salir de la Casa Blanca https://t.co/hnZTwL1PBa vía @pluralidadz,2020-11-10 15:41:17,Bogota,,"Place(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, id='0161be1b3f98d6c3', url='https://api.twitter.com/1.1/geo/id/0161be1b3f98d6c3.json', place_type='city', name='Bogotá, D.C.', full_name='Bogotá, D.C., Colombia', country_code='CO', country='Colombia', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C9E2E1EB80>, type='Polygon', coordinates=[[[-74.483288999243, 3.71743200175304], [-74.0040529979154, 3.71743200175304], [-74.0040529979154, 4.80713500387127], [-74.483288999243, 4.80713500387127]]]), attributes={})",,1326188185152610307,https://twitter.com/i/web/status/1326188185152610307
"https://t.co/hrNsswTArl

ALELUYA  DIOS TOMA EL CONTROL
 DESCUBIERTO  FRAUDE EN ARIZONA

 BIDEN PIERDE LOS PUNTOS Y SON SUMADOS A DONALD TRUMP https://t.co/LSYdnnHfmG",2020-11-10 15:15:54,Bogota,COLOMBIA RISARALDA PEREIRA,,,1326181796724297728,https://twitter.com/i/web/status/1326181796724297728
"La permanencia de Francisco Santos como embajador de Colombia en Washington se hace insostenible. El embajador debe renunciar, o el presidente Duque debe removerlo de su cargo luego de su intromisión a favor de Donald Trump
https://t.co/22BUunnalJ",2020-11-10 15:15:46,Bogota,"Bogotá, Colombia",,,1326181762083524608,https://twitter.com/i/web/status/1326181762083524608
‘Fake News’: ¿Encontraron votos a favor de Trump desechados? Fotografías de bolsas y cajas llenas de sobres del correo con votos causaron duda sobre los resultados de las elecciones estadounidenses. ¿Cuál es la historia detrás? Le contamos 👉 https://t.co/oEAa6m9OQM https://t.co/OGZn6e69v8,2020-11-10 14:58:08,Bogota,"Bogotá, Colombia",,,1326177325898227712,https://twitter.com/i/web/status/1326177325898227712
"Estados Unidos estuvo cuatro días sin saber el nombre del ganador de las elecciones presidenciales del 3 de noviembre. ¿Fraude?, como ha dicho Donald Trump. No. Esto es porque cada estado tiene sus reglas electorales, tiempos y formas de contar los votos.
https://t.co/jPbP6ccOuG",2020-11-10 14:55:05,Bogota,"Bogotá, Colombia",,,1326176558017556483,https://twitter.com/i/web/status/1326176558017556483
